Plaats,Lengtegraad,Breedtegraad,Default Channel Grouping (Standaard kanaalgroepering),Bestelling (Voltooiingen doel 4)
Rotterdam,4.4777,51.9244,Direct,7
Groningen,6.5665,53.2194,Direct,5
Breda,4.7770,51.5831,Direct,5
Tilburg,5.0919,51.5606,Direct,5
Assen,6.5642,52.9928,Direct,4
Oosterbeek,5.8463,51.9858,Organic Search,4
Rijen,4.9181,51.5910,Direct,4
Alkmaar,4.7534,52.6324,Direct,4
Zoetermeer,4.4940,52.0607,Direct,4
Eindhoven,5.4697,51.4416,Direct,3
's-Hertogenbosch,5.3037,51.6978,Direct,3
Wolphaartsdijk,3.8218,51.5300,Direct,3
Assen,6.5642,52.9928,Organic Search,2
Emmen,6.8976,52.7858,Direct,2
Almere,5.2647,52.3508,Direct,2
Joure,5.7972,52.9655,Direct,2
Arnhem,5.8987,51.9851,Organic Search,2
Esveld,5.6351,52.1383,Direct,2
Bedum,6.5998,53.3017,Direct,2
Roermond,5.9878,51.1913,Direct,2
Goirle,5.0642,51.5237,Direct,2
Kaatsheuvel,5.0306,51.6571,Direct,2
Schijndel,5.4335,51.6197,Direct,2
Zevenbergen,4.6075,51.6461,Direct,2
Amstelveen,4.8701,52.3114,Organic Search,2
Amsterdam,4.8952,52.3702,Direct,2
Haarlem,4.6462,52.3874,Organic Search,2
Zandvoort,4.5334,52.3711,Organic Search,2
Maarssenbroek,5.0171,52.1319,Direct,2
Utrecht,5.1178,52.0917,Direct,2
Utrecht,5.1214,52.0907,Direct,2
Woerden,4.8627,52.0798,Direct,2
Woerden,4.8627,52.0798,Organic Search,2
Goes,3.8911,51.5046,Direct,2
Papendrecht,4.6942,51.8425,Direct,2
The Hague,4.3007,52.0705,Direct,2
The Hague,4.3007,52.0705,Paid Search,2
Alphen,4.9533,51.4824,Organic Search,2
Bovenkarspel,5.2496,52.6984,Direct,2
Sint Annaparochie,5.6571,53.2764,Direct,2
Sint-Michielsgestel,5.3529,51.6413,Direct,2
Winsum,6.5252,53.3296,Organic Search,2
Zaandam,4.8292,52.4420,Direct,2
Beilen,6.5146,52.8599,Direct,1
Eelde,6.5643,53.1331,Direct,1
Meppel,6.1937,52.6921,Direct,1
Emmeloord,5.7550,52.7121,Direct,1
Lelystad,5.4714,52.5185,Organic Search,1
Zeewolde,5.5405,52.3311,Organic Search,1
Bolsward,5.5217,53.0613,Direct,1
Dokkum,6.0001,53.3255,Direct,1
Drachten,6.0586,53.0926,Organic Search,1
Gorredijk,6.0649,53.0038,Organic Search,1
Leeuwarden,5.7999,53.2012,Organic Search,1
Apeldoorn,5.9699,52.2112,Direct,1
Apeldoorn,5.9699,52.2112,Organic Search,1
Esveld,5.6349,52.1383,Direct,1
Brummen,6.1580,52.0902,Direct,1
Cuijk,5.8792,51.7289,Direct,1
Didam,6.1299,51.9412,Direct,1
Doetinchem,6.2938,51.9647,Organic Search,1
Druten,5.5943,51.8941,Direct,1
Elburg,5.8345,52.4493,Direct,1
Harderwijk,5.6367,52.3422,Direct,1
Lunteren,5.6173,52.0883,Direct,1
Nijmegen,5.8372,51.8126,Organic Search,1
Oosterbeek,5.8463,51.9858,Direct,1
Scherpenzeel,5.4881,52.0789,Direct,1
Wijchen,5.7529,51.8137,Direct,1
Zutphen,6.1961,52.1427,Organic Search,1
Delfzijl,6.9245,53.3310,Direct,1
Groningen,6.5665,53.2194,Organic Search,1
Scheemda,6.9724,53.1764,Direct,1
Stadskanaal,6.9462,52.9920,Direct,1
Veendam,6.8751,53.1063,Direct,1
Geleen,5.8277,50.9672,Direct,1
Heerlen,5.9795,50.8882,Direct,1
Maastricht,5.6910,50.8514,Direct,1
Panningen,5.9794,51.3289,Direct,1
Sittard,5.8865,51.0006,Direct,1
Best,5.3978,51.5078,Direct,1
Bladel,5.2136,51.3630,Direct,1
Eindhoven,5.4697,51.4416,Organic Search,1
Helmond,5.6570,51.4793,Organic Search,1
Klundert,4.5329,51.6644,Organic Search,1
Oudenbosch,4.5276,51.5833,Organic Search,1
Roosendaal,4.4653,51.5359,Direct,1
Tilburg,5.0919,51.5606,Organic Search,1
Zundert,4.6624,51.4707,Direct,1
Alkmaar,4.7534,52.6324,Organic Search,1
Amsterdam,4.8952,52.3702,Organic Search,1
Bergen,4.7064,52.6749,Direct,1
Den Helder,4.7608,52.9563,Direct,1
Enkhuizen,5.2847,52.7154,Direct,1
Heiloo,4.7005,52.6012,Paid Search,1
Hilversum,5.1669,52.2292,Direct,1
Hilversum,5.1669,52.2292,Organic Search,1
Hoofddorp,4.6907,52.3061,Direct,1
Hoofddorp,4.6907,52.3061,Organic Search,1
Monnickendam,5.0392,52.4556,Direct,1
Nieuw-Vennep,4.6318,52.2640,Direct,1
Wieringerwerf,5.0241,52.8502,Direct,1
Zwaag,5.0737,52.6672,Direct,1
Deventer,6.1552,52.2661,Direct,1
Deventer,6.1552,52.2661,Organic Search,1
Enschede,6.8937,52.2215,Direct,1
Haaksbergen,6.7473,52.1581,Direct,1
Hengelo,6.7928,52.2574,Direct,1
Staphorst,6.1995,52.6429,Organic Search,1
Zwolle,6.0830,52.5168,Direct,1
Amersfoort,5.3878,52.1561,Direct,1
Amersfoort,5.3878,52.1561,Organic Search,1
Amersfoort,5.3878,52.1561,Referral,1
Harmelen,4.9633,52.0882,Paid Search,1
Leusden,5.4295,52.1318,Direct,1
Utrecht,5.1178,52.0917,Organic Search,1
Wijk bij Duurstede,5.3384,51.9756,Direct,1
Goes,3.8911,51.5046,Organic Search,1
Kamperland,3.7023,51.5706,Direct,1
Kapelle,3.9596,51.4848,Referral,1
Terneuzen,3.8324,51.3323,Referral,1
Alphen aan den Rijn,4.6689,52.1277,Paid Search,1
Brielle,4.1637,51.9026,Direct,1
Delft,4.3571,52.0116,Direct,1
Heinkenszand,3.8145,51.4732,Direct,1
Leiderdorp,4.5282,52.1510,Direct,1
Papendrecht,4.6942,51.8425,Organic Search,1
Papendrecht,4.6942,51.8425,Referral,1
Rotterdam,4.4777,51.9244,Organic Search,1
The Hague,4.3007,52.0705,Organic Search,1
Alphen,4.9533,51.4824,Direct,1
Anna Paulowna,4.8238,52.8616,Direct,1
Bergen op Zoom,4.2872,51.4946,Direct,1
Berkel en Rodenrijs,4.4733,51.9914,Referral,1
Bocholtz,6.0089,50.8180,Direct,1
Dirksland,4.0921,51.7506,Direct,1
Dreumel,5.4293,51.8505,Organic Search,1
Geertruidenberg,4.8500,51.7024,Direct,1
Gendt,5.9732,51.8746,Direct,1
Gieten,6.7634,53.0053,Organic Search,1
Heeten,6.2816,52.3326,Direct,1
Heeze,5.5758,51.3810,Direct,1
Heino,6.2329,52.4339,Direct,1
Sappemeer,6.7941,53.1648,Direct,1
Hoogvliet Rotterdam,4.3580,51.8616,Paid Search,1
Meerlo,6.0855,51.5136,Direct,1
Oldebroek,5.8983,52.4474,Direct,1
Oosterwolde,6.2944,52.9896,Direct,1
Oosterwolde,6.2944,52.9896,Organic Search,1
Oud Gastel,4.4629,51.5839,Direct,1
Ouderkerk aan de Amstel,4.9153,52.2947,Direct,1
Renesse,3.7714,51.7313,Direct,1
Stiens,5.7523,53.2644,Organic Search,1
Tholen,4.2162,51.5333,Direct,1
Volkel,5.6546,51.6429,Direct,1
Warmenhuizen,4.7385,52.7227,Direct,1
Warnsveld,6.2238,52.1400,Direct,1
Wateringen,4.2741,52.0247,Direct,1
Wemeldinge,3.9965,51.5168,Direct,1
Winsum,6.5252,53.3296,Direct,1
Winsum,6.5252,53.3296,Referral,1
Wognum,5.0228,52.6818,Direct,1
